,Title,imdbRating,Plot,Genre,Day,Time,Network,Hours,Runtime in minutes,imdbVotes,totalSeasons,Documentary,Animation,Thriller,War,Comedy,Crime,Drama,Action,Fantasy,Western,Family,Romance,Biography,History,Mystery,Sport,Sci-Fi,Adventure,Horror,Episodes
0,Mr. Robot,8.5,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller",Sunday,22:00,USA Network,36.75,49,307790,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45
1,Peaky Blinders,8.8,"A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime, Drama",Sunday,21:00,BBC One,30.0,60,263526,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
2,Dark,8.7,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Crime, Drama, Mystery, Sci-Fi, Thriller",Friday,??,Netflix,18.0,60,160927,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,18
3,Breaking Bad,9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Crime, Drama, Thriller",Sunday,22:00,AMC,50.63,49,1313775,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62
4,Game of Thrones,9.5,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","Action, Adventure, Drama, Fantasy, Romance",Sunday,21:00,HBO,69.35,57,1429496,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,73
5,The Walking Dead,8.2,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.","Drama, Horror, Thriller",Sunday,21:00,AMC,107.07,44,817703,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,146
6,True Detective,9.0,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime, Drama, Mystery, Thriller",Sunday,21:00,HBO,22.0,55,464723,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,24
7,See,7.6,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.","Action, Drama, Sci-Fi",Friday,??,Apple TV+,8.0,60,29802,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8
8,The Simpsons,8.7,The satiric adventures of a working-class family in the misfit city of Springfield.,"Animation, Comedy",Sunday,20:00,FOX,250.8,22,328282,31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
9,Better Call Saul,8.7,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama",Monday,21:00,AMC,38.33,46,269519,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50
10,Westworld,8.7,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Drama, Mystery, Sci-Fi, Western",Sunday,21:00,HBO,28.93,62,375039,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,28
11,The Good Doctor,8.2,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Drama,Monday,22:00,ABC,38.27,41,51862,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56
12,Vikings,8.6,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Action, Adventure, Drama, History, Romance, War",Wednesday,22:00,History,57.93,44,375652,6,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,79
13,You,7.8,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Crime, Drama, Romance, Thriller",Thursday,??,Netflix,15.0,45,109408,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,20
14,His Dark Materials,8.0,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Adventure, Drama, Family, Fantasy",Sunday,20:00,BBC One,8.0,60,31145,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,8
