,Title,imdbRating,Plot,Genre,Runtime in minutes,imdbVotes,totalSeasons,Drama,Horror,Action,History,War,Sci-Fi,Family,Biography,Crime,Thriller,Comedy,Fantasy,Mystery,Animation,Sport,Adventure,Documentary,Romance,Western,Day,Time,Network,Episodes,Hours
0,Mr. Robot,8.5,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller",49,307790,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,22:00,USA Network,45,36.75
1,Peaky Blinders,8.8,"A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime, Drama",60,263526,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,BBC One,30,30.0
2,Dark,8.7,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Crime, Drama, Mystery, Sci-Fi, Thriller",60,160927,3,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Friday,,Netflix,18,18.0
3,Breaking Bad,9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Crime, Drama, Thriller",49,1313775,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,22:00,AMC,62,50.63
4,Game of Thrones,9.5,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.","Action, Adventure, Drama, Fantasy, Romance",57,1429496,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Sunday,21:00,HBO,73,69.35
5,The Walking Dead,8.2,"Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins, and must lead a group of survivors to stay alive.","Drama, Horror, Thriller",44,817703,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Sunday,21:00,AMC,146,107.07
6,True Detective,9.0,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime, Drama, Mystery, Thriller",55,464723,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,24,22.0
7,See,7.6,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.","Action, Drama, Sci-Fi",60,29802,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,,Apple TV+,8,8.0
8,The Simpsons,8.7,The satiric adventures of a working-class family in the misfit city of Springfield.,"Animation, Comedy",22,328282,31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sunday,20:00,FOX,684,250.8
9,Better Call Saul,8.7,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama",46,269519,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Monday,21:00,AMC,50,38.33
10,Westworld,8.7,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Drama, Mystery, Sci-Fi, Western",62,375039,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Sunday,21:00,HBO,28,28.93
11,The Good Doctor,8.2,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",Drama,41,51862,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,22:00,ABC,56,38.27
12,Vikings,8.6,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Action, Adventure, Drama, History, Romance, War",44,375652,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Wednesday,22:00,History,79,57.93
13,You,7.8,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","Crime, Drama, Romance, Thriller",45,109408,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,Thursday,,Netflix,20,15.0
14,His Dark Materials,8.0,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,"Adventure, Drama, Family, Fantasy",60,31145,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Sunday,20:00,BBC One,8,8.0
15,The Purge,6.4,"Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.","Action, Drama, Horror, Sci-Fi, Thriller",42,9769,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Tuesday,21:00,USA Network,20,14.0
16,The Witcher,8.3,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Action, Adventure, Drama, Fantasy, Horror, Mystery",60,229401,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Friday,,Netflix,8,8.0
17,Big Little Lies,8.5,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","Crime, Drama, Mystery",60,132090,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Sunday,21:00,HBO,14,14.0
18,The Wire,9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime, Drama, Thriller",59,260549,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,60,59.0
19,Six Feet Under,8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Comedy, Drama",55,114650,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,63,57.75
20,Big Love,7.5,A polygamist and his relationship with his three wives.,Drama,60,19488,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,21:00,HBO,53,53.0
21,Boardwalk Empire,8.5,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,"Crime, Drama, History",55,164862,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,56,51.33
22,Here and Now,6.8,"A dark dramedy about a progressive Portlandian family made up of husband, wife, three adopted children from Liberia, Vietnam and Colombia and one biological daughter who find their sanity tested and values challenged in 2018 America.","Comedy, Drama, Fantasy",60,4187,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Sunday,21:00,HBO,10,10.0
23,In Treatment,8.3,"A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.",Drama,25,14619,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,21:00,HBO,106,44.17
24,John from Cincinnati,7.1,"In Imperial Beach, California, the dysfunctional Yost family intersects with two new arrivals to the community: a dim-but-wealthy surfing enthusiast and man spurned by the Yosts years ago.",Drama,55,4537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,21:00,HBO,10,9.17
25,Dracula,6.8,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.","Drama, Horror",270,33989,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,21:00,BBC One,3,13.5
26,Kingdom,8.2,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Action, Drama, Horror, Thriller",45,14259,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,Netflix,12,9.0
27,Servant,7.7,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Drama, Horror, Thriller",30,9576,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Friday,,Apple TV+,10,5.0
