carat,cut,color,clarity,depth,table,price
1.21,5,3,4,63.0,57.0,6134
0.28,3,7,6,64.0,56.0,532
0.42,4,5,5,61.2,58.0,1103
0.26,5,3,8,61.1,57.0,600
1.1,2,4,3,63.4,57.0,4997
0.35,5,5,3,62.2,56.0,583
0.31,5,2,4,62.3,54.0,452
0.43,4,3,3,60.2,57.0,919
0.51,4,2,2,60.4,59.0,956
1.22,5,2,5,61.9,55.7,6469
0.41,3,7,3,63.2,57.0,947
0.33,4,4,7,61.9,59.0,1114
0.93,5,2,3,62.5,55.0,3856
0.71,5,3,5,61.6,57.0,2175
0.47,5,4,6,62.2,53.0,1618
1.71,4,2,2,60.6,57.0,9760
0.33,3,6,6,60.1,63.0,981
1.26,3,4,3,61.7,60.0,6733
0.75,4,4,3,60.9,58.0,2631
0.76,3,3,3,61.4,57.0,2557
0.31,5,6,6,62.4,53.0,791
0.7,4,5,6,58.7,60.0,3062
0.3,5,7,6,61.6,57.0,814
0.28,5,5,5,60.2,56.0,598
0.9,5,6,4,62.7,56.0,4770
0.51,5,1,3,62.5,56.0,988
0.71,3,2,4,61.1,60.0,2384
0.57,5,3,7,60.9,56.0,1949
0.71,3,5,2,60.5,62.0,2138
0.72,3,6,3,63.3,56.0,3183
0.36,5,4,5,62.3,57.0,678
0.3,5,3,5,61.9,58.0,545
0.9,3,2,4,59.3,59.0,3992
0.7,2,7,7,59.2,59.0,4198
0.38,4,6,4,60.5,62.0,1112
0.67,1,2,4,57.2,70.0,1436
0.3,4,6,5,61.4,59.0,814
2.02,4,6,2,59.8,58.0,17825
2.0,4,4,2,61.1,60.0,13986
0.33,5,3,3,63.0,57.0,610
1.1,5,5,1,61.8,56.0,3745
0.56,3,6,4,61.7,56.0,1755
0.85,4,1,4,60.7,58.0,2295
0.93,2,1,3,63.7,54.0,2438
0.53,5,7,4,61.2,56.0,1857
0.4,3,4,7,60.9,57.0,1123
0.73,5,5,2,61.9,55.0,2588
1.14,4,2,3,62.2,58.0,4788
1.02,4,6,3,61.4,58.0,5956
1.2,5,4,5,62.6,54.3,8687
1.02,5,5,4,62.6,57.0,7632
1.02,4,7,6,61.4,58.0,10580
1.2,5,2,2,63.0,57.0,4596
1.0,2,6,3,59.8,65.0,4213
1.11,4,4,3,60.9,59.0,4096
0.39,4,5,5,60.6,55.0,1092
1.07,4,3,3,63.0,57.0,5465
1.14,3,2,4,62.5,59.0,4785
0.58,5,6,2,61.4,57.1,1392
1.5,2,4,2,64.3,57.0,8043
0.26,5,4,6,61.4,56.0,545
1.01,2,2,2,61.8,62.0,3399
0.4,5,5,5,61.1,56.0,1050
0.33,4,5,4,62.4,58.0,666
1.28,5,5,5,61.7,55.0,11580
0.75,5,7,4,62.4,55.0,3456
1.7,4,4,5,61.2,57.0,17492
1.02,5,7,3,62.8,56.0,6158
0.9,5,4,3,61.6,57.0,4001
0.83,4,5,4,62.0,59.0,3393
0.9,3,5,2,60.3,63.0,3630
0.32,3,4,4,60.9,58.0,564
1.05,2,6,5,63.1,59.0,7826
0.9,3,7,3,62.4,63.0,3997
0.71,5,6,2,62.3,57.0,2190
0.6,5,5,6,61.5,57.0,3196
1.23,3,1,6,61.2,57.0,5665
1.01,1,7,3,62.6,57.0,5628
0.7,1,5,5,65.8,59.0,2381
1.59,5,2,3,62.4,56.0,10106
0.35,3,4,8,62.2,58.0,1044
0.9,2,5,4,63.6,59.0,4234
2.0,1,5,2,70.2,57.0,15351
0.71,4,6,3,60.4,62.0,2441
0.26,3,5,7,60.8,58.0,679
0.53,5,5,4,61.2,56.0,1655
0.35,4,2,4,61.2,58.0,630
0.3,4,4,6,62.0,60.0,684
1.04,3,4,2,60.6,57.0,4703
0.23,3,5,7,62.3,55.0,583
1.03,4,5,5,61.8,59.0,7328
0.3,5,4,3,62.2,57.0,477
1.08,2,6,3,63.1,59.0,5096
1.53,5,2,2,61.3,59.0,8062
1.2,5,6,4,61.3,56.0,10214
0.71,5,6,3,60.8,57.0,3360
0.41,4,4,3,60.3,59.0,923
1.09,4,4,4,62.1,57.0,5098
0.7,2,5,3,61.1,61.0,2445
0.91,4,7,2,61.5,56.0,4051
1.07,3,7,8,60.9,58.0,18114
1.52,2,3,3,64.1,59.0,8915
0.81,2,5,3,64.3,53.0,2718
0.5,3,5,3,62.8,56.0,1250
0.35,3,3,6,63.0,55.0,706
0.7,3,4,5,60.1,60.0,3017
0.34,4,3,3,60.2,58.0,477
0.71,5,6,3,60.5,56.0,3527
0.31,5,6,4,61.7,55.0,872
0.55,4,6,4,61.5,56.0,1881
1.05,5,4,4,61.9,56.0,6604
0.32,4,3,3,60.9,60.0,461
0.3,5,6,6,61.5,58.0,766
0.7,3,3,2,61.6,56.1,2306
0.9,3,3,2,62.8,57.0,3160
0.32,3,5,6,61.8,60.0,786
1.12,5,7,4,62.0,55.0,8279
0.72,3,4,4,63.3,57.0,2477
0.7,5,6,3,62.2,57.0,2542
0.3,3,5,4,62.9,57.0,605
0.5,5,5,6,59.9,58.0,2016
1.5,4,7,2,58.7,57.0,9173
0.55,3,6,6,60.6,56.0,2499
0.53,2,6,2,63.0,60.0,1127
1.0,2,5,3,63.3,61.0,4712
0.74,3,7,4,62.4,57.0,2906
0.5,5,7,3,60.9,57.0,1563
0.34,4,3,5,62.2,58.0,765
1.33,4,3,3,61.9,58.0,7302
0.58,4,6,3,62.1,58.0,1812
0.32,5,5,5,62.0,54.0,876
1.0,4,6,2,62.8,59.0,4200
0.33,4,6,5,61.0,55.0,1069
1.03,5,5,6,62.0,56.0,9245
0.72,4,4,6,61.6,58.0,2720
0.7,4,3,5,60.6,59.0,2636
0.39,3,4,3,62.5,55.0,694
0.71,5,7,3,60.2,56.0,2822
0.71,3,7,2,60.2,58.0,2519
1.53,5,3,6,61.9,57.0,12848
1.0,3,5,4,61.1,60.0,6619
0.39,3,4,5,61.7,62.0,741
0.4,2,7,4,63.2,57.0,786
1.01,3,5,2,59.5,57.0,3709
1.01,2,5,6,63.6,60.0,6932
1.14,5,3,2,62.6,57.0,4788
0.51,5,5,4,62.9,57.0,1687
1.5,5,3,4,62.2,57.0,10692
0.75,5,7,2,60.3,57.0,2726
0.31,5,4,4,61.4,56.0,698
0.97,5,6,2,62.3,56.0,4078
0.9,3,5,4,61.7,57.0,4493
0.3,4,3,8,60.4,60.0,1013
0.9,4,2,2,62.5,58.0,2948
1.0,4,3,2,60.0,62.0,3584
0.3,5,7,3,62.2,55.0,709
1.02,5,6,4,61.0,56.0,8225
0.9,2,7,3,63.6,63.0,3755
1.55,3,4,3,59.2,59.0,10707
0.68,2,4,7,61.9,55.0,3225
0.4,3,6,3,63.3,56.0,882
0.51,4,3,2,62.9,56.0,1125
2.32,4,1,2,59.0,59.0,14666
0.31,5,3,3,61.2,58.0,417
1.1,5,3,5,61.4,57.0,6470
1.0,4,5,1,62.4,59.0,3405
0.72,3,7,2,61.3,59.0,2692
0.38,5,4,3,61.6,54.0,710
1.22,3,3,3,62.4,57.0,6323
0.53,5,4,7,61.4,57.0,2106
1.02,4,4,4,62.7,58.0,5506
0.33,3,3,8,61.7,59.0,787
1.06,5,2,5,61.8,56.0,6060
0.3,4,5,8,60.7,58.0,1013
0.28,5,7,4,62.4,57.0,487
0.31,5,5,4,61.9,55.0,802
1.01,3,6,4,61.9,55.0,6666
1.53,5,2,5,62.8,55.0,10796
1.07,4,3,3,58.9,59.0,4235
0.25,5,5,4,61.6,55.0,535
0.33,5,3,6,61.9,57.0,666
1.25,4,1,4,62.0,59.0,5264
0.32,5,4,7,61.1,55.0,814
0.55,5,7,4,60.2,56.0,2459
1.12,4,1,2,60.7,61.0,3266
0.27,5,4,5,62.3,53.0,527
0.93,4,1,5,60.3,58.0,3062
0.31,5,3,6,62.5,55.0,802
0.43,3,5,4,62.5,60.0,804
0.31,2,2,3,63.8,55.0,523
1.23,5,3,8,61.3,57.0,8431
1.01,3,5,2,62.4,58.0,4416
0.4,5,4,6,62.3,54.0,931
1.3,4,5,5,62.5,58.0,11392
0.5,3,5,2,63.1,60.0,1020
2.03,4,7,2,62.4,59.0,18286
0.4,3,1,4,62.9,57.0,596
0.32,3,6,3,63.3,56.0,720
1.01,2,6,2,63.9,58.0,3737
1.04,5,3,3,62.5,57.0,4648
0.31,4,6,6,61.9,58.0,1046
1.06,5,2,4,62.3,56.0,4530
1.05,2,3,3,63.1,60.0,4608
0.71,5,6,4,62.2,57.0,2776
0.34,5,2,5,62.6,56.0,537
0.73,5,5,6,62.2,54.0,3193
0.99,2,5,2,63.3,54.0,4052
0.9,5,6,2,62.2,55.0,4191
0.36,3,4,5,62.9,57.0,726
0.43,5,6,4,61.9,56.0,1048
1.01,4,4,2,62.0,58.0,4327
1.19,4,7,2,58.8,58.0,5504
0.39,3,3,2,62.4,59.0,562
0.87,3,1,3,63.1,60.0,2379
0.91,5,6,3,61.4,54.0,5252
0.35,5,4,4,61.0,57.0,633
1.02,3,5,3,61.9,58.0,5019
0.72,3,3,4,62.9,58.0,2396
0.7,3,5,3,60.6,60.0,2662
1.56,5,1,4,62.4,57.0,7809
1.12,3,3,2,61.8,58.0,4624
1.12,3,4,2,60.2,59.0,4852
2.16,3,3,2,62.3,60.0,14824
0.51,5,7,4,62.5,56.0,2056
0.24,3,5,6,62.5,56.0,478
1.27,4,1,2,60.4,58.0,4660
0.9,3,4,4,60.9,59.0,4269
0.7,1,3,3,64.5,59.0,2176
0.56,5,5,4,62.6,56.0,1761
1.13,4,3,3,60.1,60.0,5050
0.51,3,1,3,63.3,56.0,1071
1.01,5,4,5,62.9,57.0,6176
0.56,5,5,4,61.6,55.0,1723
0.73,5,4,3,62.1,54.0,2351
0.91,4,6,2,62.8,59.0,3898
0.4,5,7,5,62.9,56.0,1200
0.34,5,6,4,62.2,55.0,956
1.7,4,2,4,62.2,58.0,11888
0.9,3,6,4,62.9,57.0,4580
0.51,5,6,4,61.7,54.0,1781
0.7,2,6,4,60.3,60.0,3115
0.43,4,4,4,61.3,58.0,867
0.73,4,6,3,62.2,59.0,2821
0.32,5,6,5,61.4,55.0,713
0.32,4,3,7,61.5,59.0,936
0.91,3,5,2,62.4,58.0,3659
0.4,2,1,4,64.0,57.0,591
0.46,5,5,2,62.1,54.7,851
1.01,3,2,4,62.3,60.0,4666
0.31,5,5,4,62.0,56.0,625
1.11,5,3,2,62.0,54.0,4662
0.5,4,6,1,60.7,61.0,840
0.51,4,6,4,62.5,60.0,1709
0.3,5,5,7,61.9,57.0,776
0.41,5,6,7,61.3,56.0,1367
0.53,2,7,2,63.9,55.0,1226
