Id;Name;Gender;Job;House;Species;Loyalty;Skills
1;Harry James Potter;Male;Student;Gryffindor;Human;Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Parseltongue| Defence Against the Dark Arts | Seeker
2;Ronald Bilius Weasley;Male;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Wizard chess | Quidditch goalkeeping
3;Hermione Jean Granger;Female;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Almost everything
4;Albus Percival Wulfric Brian Dumbledore;Male;Headmaster;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Considered by many to be one of the most powerful wizards of his time
5;Rubeus Hagrid;Male;Keeper of Keys and Grounds | Professor of Care of Magical Creatures ;Gryffindor;Half-Human/Half-Giant;Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Resistant to stunning spells| above average strength | crossbowmanship
6;Neville Longbottom;Male;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Herbology
7;Fred Weasley;Male;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Beater
8;George Weasley;Male;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Beater
9;Ginevra (Ginny) Molly Weasley;Female;Student;Gryffindor;Human;Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry;Chaser| Bat-Bogey hex
10;Dean Thomas;Male;Student;Gryffindor;Human;Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry;Chaser
11;Seamus Finnigan;Male;Student;Gryffindor;Human;Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry;Pyrotechnics
12;Lily J. Potter;Female;;Gryffindor;Human;Order of the Phoenix;
13;James Potter;Male;;Gryffindor;Human;Order of the Phoenix;Animagus| Seeker
